The Marriage of Maria Braun,1979,120
Monty Python's) Life of Brian,1979,93
Moscow Does Not Believe in Tears,1979,140
The Muppet Movie,1979,95
Norma Rae,1979,110
North Dallas Forty,1979,119
Nosferatu: The Vampyr,1979,107
The Onion Field,1979,126
Real Life,1979,99
Star Trek - The Motion Picture,1979,132
10,1979,121
Tess,1979,170
The Tin Drum,1979,142
The Warriors,1979,90
Airplane!,1980,88
The Big Red One,1980,113
The Blues Brothers,1980,133
Breaker Morant,1980,107
Coal Miner's Daughter,1980,125
Dressed to Kill,1980,105
The Elephant Man,1980,125
The Empire Strikes Back,1980,120
The Gods Must Be Crazy,1980,109
Heaven's Gate,1980,219
Kagemusha,1980,162
The Long Good Friday,1980,105
Melvin and Howard,1980,95
Ordinary People,1980,124
Raging Bull,1980,129
The Shining,1980,144
An American Werewolf in London,1981,97
Arthur,1981,117
Atlantic City,1981,104
Blow Out,1981,107
Body Heat,1981,113
Chariots of Fire,1981,123
Christiane F.,1981,138
Das Boot,1981,145
Diva,1981,117
The Evil Dead,1981,85
The French Lieutenant's Woman,1981,124
Gallipoli,1981,110
Gregory's Girl,1981,91
Mad Max 2,1981,94
Mephisto,1981,144
My Dinner with Andre,1981,110
On Golden Pond,1981,109
Pixote,1981,128
Possession,1981,124
Ragtime,1981,155
Raiders of the Lost Ark,1981,115
Reds,1981,200
Whose Life Is It Anyway?,1981,119
Zoot Suit,1981,103
Blade Runner,1982,117
Diner,1982,110
E. T. - The Extra-Terrestrial,1982,115
Fanny and Alexander,1982,188
Fast Times at Ridgemont High,1982,91
First Blood,1982,99
Fitzcarraldo,1982,157
48 Hrs.,1982,96
Gandhi,1982,188
The King of Comedy,1982,108
Koyaanisqatsi,1982,87
Missing,1982,122
Moonlighting,1982,97
An Officer and a Gentleman,1982,126
Poltergeist,1982,114
The Road Warrior,1982,94
Sophie's Choice,1982,157
The Thing,1982,108
Tootsie,1982,116
The Verdict,1982,129
The Year of Living Dangerously,1982,115
The Big Chill,1983,103
A Christmas Story,1983,94
The Dresser,1983,118
El Norte,1983,139
Entre Nous,1983,110
Flashdance,1983,95
Local Hero,1983,111
National Lampoon's) Vacation,1983,98
Return of the Jedi,1983,132
The Right Stuff,1983,192
Risky Business,1983,98
Scarface,1983,170
The Star Chamber,1983,109
Sudden Impact,1983,117
Tender Mercies,1983,92
Terms of Endearment,1983,130
Videodrome,1983,87
Zelig,1983,80
Amadeus,1984,158
Beverly Hills Cop,1984,105
Blood Simple,1984,97
The Bounty,1984,130
Choose Me,1984,106
Dangerous Moves,1984,100
Ghostbusters,1984,107
The Home and the World,1984,140
The Killing Fields,1984,141
The Natural,1984,134
A Nightmare on Elm Street,1984,91
Once Upon a Time in America,1984,227
"Paris, Texas",1984,147
A Passage to India,1984,163
Places in the Heart,1984,112
Repo Man,1984,92
Romancing the Stone,1984,105
A Soldier's Story,1984,101
Stranger Than Paradise,1984,89
The Terminator,1984,108
This Is Spinal Tap,1984,82
Back to the Future,1985,116
Brazil,1985,131
The Breakfast Club,1985,92
Cocoon,1985,117
The Color Purple,1985,152
Day of the Dead,1985,96
The Emerald Forest,1985,113
The Goonies,1985,114
Jagged Edge,1985,108
Kiss of the Spider Woman,1985,119
Lost in America,1985,91
My Beautiful Laundrette,1985,97
My Life as a Dog,1985,101
The Official Story,1985,112
Out of Africa,1985,162
Pale Rider,1985,120
Pee-Wee's Big Adventure,1985,90
Prizzi's Honor,1985,130
The Purple Rose of Cairo,1985,84
Ran,1985,160
Re-Animator,1985,104
The Return of the Living Dead,1985,91
A Room With a View,1985,117
The Trip to Bountiful,1985,105
Witness,1985,112
Aliens,1986,137
The Assault,1986,144
Betty Blue,1986,121
Blue Velvet,1986,120
Children of a Lesser God,1986,119
The Color of Money,1986,119
"""Crocodile"" Dundee",1986,102
Ferris Bueller's Day Off,1986,103
The Fly,1986,100
Hannah and Her Sisters,1986,106
Henry: Portrait of a Serial Killer,1986,90
The Hitcher,1986,96
Manhunter,1986,119
Manon of the Spring,1986,113
The Mission,1986,126
Mona Lisa,1986,104
Nine 1/2 Weeks,1986,117
Platoon,1986,111
Salvador,1986,123
She's Gotta Have It,1986,85
Sherman's March,1986,157
Something Wild,1986,113
Stand By Me,1986,87
Top Gun,1986,110
Au Revoir Les Enfants,1987,103
Babette's Feast,1987,102
The Big Easy,1987,108
Broadcast News,1987,131
The Dead,1987,83
Dirty Dancing,1987,105
Evil Dead 2,1987,84
Fatal Attraction,1987,119
Full Metal Jacket,1987,116
"Good Morning, Vietnam",1987,121
Hope and Glory,1987,113
House of Games,1987,102
The Last Emperor,1987,160
Lethal Weapon,1987,110
Moonstruck,1987,102
No Way Out,1987,115
Nuts,1987,116
Pelle The Conqueror,1987,157
Predator,1987,107
The Princess Bride,1987,98
Radio Days,1987,96
Raising Arizona,1987,94
Red Sorghum,1987,91
RoboCop,1987,103
Suspect,1987,121
3 Men and a Baby,1987,102
The Untouchables,1987,119
Wall Street,1987,126
Wings of Desire,1987,130
Withnail & I,1987,108
The Accidental Tourist,1988,121
The Accused,1988,111
Akira,1988,124
Big,1988,104
Bull Durham,1988,108
Cinema Paradiso,1988,123
A Cry in the Dark,1988,120
Dangerous Liaisons,1988,120
Dead Ringers,1988,115
Die Hard,1988,132
A Fish Called Wanda,1988,108
Hairspray,1988,94
Heathers,1988,102
High Hopes,1988,110
The Last Temptation of Christ,1988,164
Mississippi Burning,1988,128
My Neighbor Totoro,1988,87
Rain Man,1988,134
The Thin Blue Line,1988,101
The Unbearable Lightness of Being,1988,171
The Vanishing,1988,107
Who Framed Roger Rabbit,1988,104
Women on the Verge of a Nervous Breakdown,1988,90
Working Girl,1988,113
The Abyss,1989,140
Batman,1989,126
Born on the Fourth of July,1989,145
"The Cook, the Thief, His Wife & Her Lover",1989,98
Crimes and Misdemeanors,1989,107
Dead Poets Society,1989,128
The Decalogue,1989,584
Do the Right Thing,1989,120
Driving Miss Daisy,1989,99
Drugstore Cowboy,1989,100
"Enemies, A Love Story",1989,119
Field of Dreams,1989,107
Glory,1989,122
Henry V,1989,138
The Killer,1989,111
The Little Mermaid,1989,83
Music Box,1989,124
My Left Foot,1989,98
Roger & Me,1989,91
Say Anything...,1989,100
"sex, lies and videotape",1989,101
When Harry Met Sally...,1989,96
Avalon,1990,128
Awakenings,1990,121
Blood Oath,1990,108
Cyrano de Bergerac,1990,137
Dances With Wolves,1990,181
Edward Scissorhands,1990,100
Ghost,1990,122
"The Godfather, Part III",1990,161
